name,symbol,atomic_number,atomic_mass,density,group,melting_point,boiling_point
Hydrogen,H,1,1.008,8.2e-05,1,13.989999999999952,20.270999999999987
Helium,He,2,4.002602,0.000164,18,,4.22199999999998
Lithium,Li,3,6.94,0.534,1,453.65,1615.15
Beryllium,Be,4,9.0121831,1.85,2,1560.15,2741.15
Boron,B,5,10.81,2.34,13,2350.15,4273.15
Carbon,C,6,12.011,2.2,14,"{'graphite': 4762.15, 'diamond': 4713.15}","{'graphite': 4098.15, 'diamond': None}"
Nitrogen,N,7,14.007,0.001145,15,63.14999999999998,77.35499999999999
Oxygen,O,8,15.999,0.0013080000000000001,16,54.359999999999985,90.18799999999999
Fluorine,F,9,18.998403163,0.001553,17,53.47999999999999,85.03999999999996
Neon,Ne,10,20.1797,0.000825,18,24.559999999999974,27.103999999999985
Sodium,Na,11,22.98976928,0.97,1,370.94399999999996,1156.0900000000001
Magnesium,Mg,12,24.305,1.74,2,923.15,1363.15
Aluminum,Al,13,26.9815385,2.7,13,933.473,2792.15
Silicon,Si,14,28.085,2.3296,14,1687.15,3538.15
Phosphorus,P,15,30.973761998,1.823,15,"{'white': 317.29999999999995, 'red': 852.35}","{'white': 553.65, 'red': None}"
Sulfur,S,16,32.06,2.07,16,"{'rhombic': 368.34999999999997, 'monoclinic': 388.35999999999996}","{'rhombic': 717.76, 'monoclinic': 717.76}"
Chlorine,Cl,17,35.45,0.002898,17,171.64999999999998,239.10999999999999
Argon,Ar,18,39.948,0.001633,18,83.80999999999997,87.30199999999996
Potassium,K,19,39.0983,0.89,1,336.65,1032.15
Calcium,Ca,20,40.078,1.54,2,1115.15,1757.15
Scandium,Sc,21,44.955908,2.99,3,1814.15,3109.15
Titanium,Ti,22,47.867,4.506,4,1943.15,3560.15
Vanadium,V,23,50.9415,6.0,5,2183.15,3680.15
Chromium,Cr,24,51.9961,7.15,6,2180.15,2944.15
Manganese,Mn,25,54.938044,7.3,7,1519.15,2334.15
Iron,Fe,26,55.845,7.87,8,1811.15,3134.15
Cobalt,Co,27,58.933194,8.86,9,1768.15,3200.15
Nickel,Ni,28,58.6934,8.9,10,1728.15,3186.15
Copper,Cu,29,63.546,8.96,11,1357.77,2833.15
Zinc,Zn,30,65.38,7.134,12,692.6769999999999,1180.15
Gallium,Ga,31,69.723,5.91,13,302.91459999999995,2502.15
Germanium,Ge,32,72.63,5.3234,14,1211.4,3106.15
Arsenic,As,33,74.921595,5.75,15,1090.15,889.15
Selenium,Se,34,78.971,4.809,16,"{'vitreous': 453.15, 'gray': 493.95}","{'vitreous': 958.15, 'gray': 958.15}"
Bromine,Br,35,79.904,3.1028,17,265.95,331.95
Krypton,Kr,36,83.798,0.0034249999999999997,18,115.77999999999997,119.73499999999999
Rubidium,Rb,37,85.4678,1.53,1,312.45,961.15
Strontium,Sr,38,87.62,2.64,2,1050.15,1650.15
Yttrium,Y,39,88.90584,4.47,3,1795.15,3618.15
Zirconium,Zr,40,91.224,6.52,4,2127.15,4679.15
Niobium,Nb,41,92.90637,8.57,5,2750.15,5014.15
Molybdenum,Mo,42,95.95,10.2,6,2895.15,4912.15
Technetium,Tc,43,97.90721,11.0,7,2430.15,4535.15
Ruthenium,Ru,44,101.07,12.1,8,2606.15,4420.15
Rhodium,Rh,45,102.9055,12.4,9,2236.15,3968.15
Palladium,Pd,46,106.42,12.0,10,1827.9499999999998,3236.15
Silver,Ag,47,107.8682,10.5,11,1234.9299999999998,2435.15
Cadmium,Cd,48,112.414,8.69,12,594.219,1040.15
Indium,In,49,114.818,7.31,13,429.7485,2300.15
Tin,Sn,50,118.71,7.287,14,"{'gray': 286.34999999999997, 'white': 505.078}","{'gray': 2859.15, 'white': 2859.15}"
Antimony,Sb,51,121.76,6.68,15,903.778,1860.15
Tellurium,Te,52,127.6,6.232,16,722.66,1261.15
Iodine,I,53,126.90447,4.933,17,386.84999999999997,457.54999999999995
Xenon,Xe,54,131.293,0.005365999999999999,18,161.39999999999998,165.051
Cesium,Cs,55,132.90545196,1.873,1,301.65,944.15
Barium,Ba,56,137.327,3.62,2,1000.15,2118.15
Lanthanum,La,57,138.90547,6.15,3,1193.15,3737.15
Cerium,Ce,58,140.116,6.77,,1072.15,3716.15
Praseodymium,Pr,59,140.90766,6.773,,1204.15,3793.15
Neodymium,Nd,60,144.242,7.01,,1289.15,3347.15
Promethium,Pm,61,144.91276,7.26,,1315.15,
Samarium,Sm,62,150.36,7.52,,1345.15,2067.15
Europium,Eu,63,151.964,5.24,,1095.15,1802.15
Gadolinium,Gd,64,157.25,7.9,,1586.15,3546.15
Terbium,Tb,65,158.92535,8.23,,1632.15,3503.15
Dysprosium,Dy,66,162.5,8.55,,1685.15,2840.15
Holmium,Ho,67,164.93033,8.8,,1745.15,2973.15
Erbium,Er,68,167.259,9.07,,1802.15,3141.15
Thulium,Tm,69,168.93422,9.321,,1818.15,2223.15
Ytterbium,Yb,70,173.045,6.9,,1097.15,1469.15
Lutetium,Lu,71,174.9668,9.84,,1936.15,3675.15
Hafnium,Hf,72,178.49,13.3,4,2506.15,4873.15
Tantalum,Ta,73,180.94788,16.4,5,3290.15,5728.15
Tungsten,W,74,183.84,19.3,6,3687.15,5828.15
Rhenium,Re,75,186.207,20.8,7,3458.15,5863.15
Osmium,Os,76,190.23,22.5872,8,3306.15,5281.15
Iridium,Ir,77,192.217,22.5622,9,2719.15,4701.15
Platinum,Pt,78,195.084,21.5,10,2041.35,4098.15
